1,This game is the best thing in my life right now. Thanks Play2Learn!,33,1
2,I'm a genius now. 1 + 1? Easy! Thanks Play2Learn!,28,1
3,Anagram Hunt has redefined who I am as a person. I can't imagine living without it.,12,2
4,"If you''re not on this website playing Math Facts, then what are you even doing with your life?",37,2
5,Anagram Hunt is the most rewarding thing I have ever experienced. Ever.,19,1
6,What an enriching and fulfilling way to spend my entire Sunday.,6,2
7,"Since I started using Play2Learn, I''ve become smarter than all my friends! Time for some new friends!",20,1
8,"I''ve become so addicted to Anagram Hunt, I barely see my family anymore!",3,1
9,"I was having so much fun playing Math Facts, I LITERALLY passed out!",29,2
10,I can now rearrange this sentence I am typing into:  coin naw rager near hist continent see I gym pin at pitying moat in!,39,2
